Time,RecordTime,Trigger,Timecode,D3 Time,LX Cue,D3 Cue
20:08.48,NO,LX,00:00:00:00,00:37:49.23,1/348,(restore)
20:08.53,NO,D3,00:00:00:00,00:37:15.00,1/346,SCREAM:AND SHOUT
20:08.53,NO,LX,00:00:00:00,00:37:15.01,1/346,button
20:08.54,NO,LX,00:00:00:00,00:37:15.11,1/344,button
20:09.37,NO,LX,00:00:00:00,00:37:45.00,1/342,button
20:09.39,NO,D3,00:00:00:00,00:37:15.00,1/344,CUE:346
20:09.39,NO,D3,00:00:00:00,00:37:15.01,1/344,CUE:344
20:09.39,NO,LX,00:00:00:00,00:37:15.06,1/344,button
20:09.42,NO,D3,00:00:00:00,00:37:45.00,1/346,CUE:346
20:09.42,NO,LX,00:00:00:00,00:37:45.06,1/346,(restore)
20:10.43,NO,LX,00:00:00:00,00:38:15.00,1/348,(restore)
20:10.57,NO,LX,00:00:00:00,00:37:45.06,1/346,(restore)
20:11.12,NO,LX,00:00:00:00,00:37:59.19,1/348,(restore)
20:11.38,NO,LX,00:00:00:00,00:37:45.04,1/346,(restore)
20:12.10,NO,D3,00:00:00:00,00:36:56.00,1/346,SCREAM:AND SHOUT
20:12.11,NO,D3,00:00:00:00,00:36:44.00,1/346,CUE:344
20:12.12,NO,D3,00:00:00:00,00:36:45.00,1/346,TC:11:00:30:01
20:12.24,NO,D3,00:00:00:00,00:38:19.00,1/346,CUE:344
20:12.25,NO,D3,00:00:00:00,00:38:14.00,1/346,End:
20:12.49,NO,D3,00:00:00:00,00:37:11.00,1/346,SCREAM:AND SHOUT
20:12.51,NO,D3,00:00:00:00,00:36:43.00,1/346,CUE:344
20:12.51,NO,D3,00:00:00:00,00:36:45.00,1/346,TC:11:00:30:01
20:13.15,NO,D3,00:00:00:00,00:37:49.00,1/346,CUE:344
20:13.15,NO,D3,00:00:00:00,00:37:44.00,1/346,SCREAM:AND SHOUT
20:13.16,NO,D3,00:00:00:00,00:37:14.00,1/346,CUE:346
20:13.17,NO,D3,00:00:00:00,00:36:44.00,1/346,CUE:344
20:13.18,NO,D3,00:00:00:00,00:36:45.00,1/346,TC:11:00:30:01
20:13.18,NO,D3,00:00:00:00,00:37:18.00,1/346,CUE:344
20:13.19,NO,D3,00:00:00:00,00:37:14.00,1/346,CUE:346
20:13.20,NO,D3,00:00:00:00,00:38:15.00,1/346,CUE:344
20:13.21,NO,D3,00:00:00:00,00:38:14.00,1/346,End:
20:13.24,NO,D3,00:00:00:00,00:37:14.00,1/346,SCREAM:AND SHOUT
20:13.44,NO,D3,00:00:00:00,00:37:15.00,1/346,CUE:344
20:14.10,NO,D3,00:00:00:00,00:39:08.00,1/346,CUE:344
20:14.15,NO,D3,00:00:00:00,00:37:15.00,1/346,SCREAM:AND SHOUT
20:15.21,NO,D3,00:00:00:00,00:39:06.00,1/346,CUE:344
20:15.59,NO,LX,00:00:00:00,00:39:15.00,1/348,(restore)
20:15.59,NO,LX,00:00:00:00,00:39:15.00,1/[STOP],(restore)
20:16.00,NO,LX,00:00:00:00,00:38:45.02,1/346,(restore)
20:16.20,NO,LX,00:00:00:00,00:39:04.13,1/348,(restore)
20:17.27,NO,D3,00:00:00:00,00:40:01.00,1/348,SCREAM:AND SHOUT
20:18.09,NO,D3,00:00:00:00,00:39:15.00,1/348,End:
20:18.10,NO,D3,00:00:00:00,00:39:14.00,1/348,End:
20:19.06,NO,D3,12:00:21:18,00:39:15.00,1/348,SCREAM:AND SHOUT
20:19.59,NO,D3,00:00:00:00,00:39:13.00,1/348,End:
20:22.15,NO,D3,00:00:00:00,00:39:15.00,1/348,SCREAM:AND SHOUT
20:23.58,NO,D3,00:00:00:00,00:39:14.00,1/348,End:
20:23.59,NO,D3,00:00:00:00,00:39:15.00,1/348,CUE:350
20:25.15,NO,D3,00:00:00:00,00:39:14.00,1/348,End:
20:25.17,NO,D3,00:00:00:00,00:39:15.00,1/348,CUE:350
20:30.07,NO,D3,00:00:00:00,00:40:15.00,1/348,End:
20:33.12,NO,D3,00:00:00:00,00:39:43.00,1/348,End:
20:33.13,NO,D3,00:00:00:00,00:39:45.00,1/348,End:
20:33.19,NO,D3,00:00:00:00,00:39:44.00,1/348,End:
20:33.20,NO,D3,00:00:00:00,00:39:45.00,1/348,End:
20:38.10,NO,D3,00:00:00:00,00:39:43.00,1/348,End:
20:38.11,NO,D3,00:00:00:00,00:39:45.00,1/348,End:
20:39.18,NO,D3,00:00:00:00,00:39:35.00,1/348,End:
20:39.25,NO,D3,00:00:00:00,00:39:45.00,1/348,End:
20:40.06,NO,D3,00:00:00:00,00:39:44.00,1/348,End:
20:40.07,NO,D3,00:00:00:00,00:39:45.00,1/348,End:
20:44.47,NO,LX,00:00:00:00,00:39:45.00,1/366,
20:44.47,NO,LX,00:00:00:00,00:39:45.00,1/358,
20:44.49,NO,LX,00:00:00:00,00:39:45.00,1/366,
20:54.29,NO,LX,00:00:00:00,00:40:45.00,1/368,
20:54.29,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:55.12,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:55.12,NO,LX,00:00:00:00,00:40:45.00,1/368,
20:55.15,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:55.15,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:55.25,NO,LX,00:00:00:00,00:40:48.05,1/380,
20:55.35,NO,LX,00:00:00:00,00:40:45.00,1/379,
20:55.41,NO,LX,00:00:00:00,00:40:45.00,1/379,
20:55.42,NO,LX,00:00:00:00,00:40:45.00,1/380,
20:55.42,NO,LX,00:00:00:00,00:40:45.00,1/380.1,
20:55.51,NO,LX,00:00:00:00,00:40:47.00,1/380,
