Time,RecordTime,Trigger,Timecode,D3 Time,LX Cue,D3 Cue
,NO,D3,,00:00:48.00,/,test
18:15.51,NO,LX,01:51:10:08,00:00:48.00,1/165,test
18:15.55,NO,LX,01:51:14:20,00:00:48.00,1/166,test
